,Class,probability,long,lat,Distance,character,color_shape,color_char
0,['trapezoid'],,,,0,not found,not found,not found
1,['rectangle'],,,,0,not found,not found,not found
2,['trapezoid'],,,,0,not found,not found,not found
3,['Human'],,,,0,not found,not found,not found
4,['rectangle'],,,,0,not found,not found,not found
5,['trapezoid'],,,,0,not found,not found,not found
6,['rectangle'],,,,0,not found,not found,not found
7,['trapezoid'],,,,0,not found,not found,not found
8,['Human'],,,,0,not found,not found,not found
9,['rectangle'],,,,0,not found,not found,not found
10,['trapezoid'],,,,0,not found,not found,not found
11,['rectangle'],,,,0,not found,not found,not found
12,['trapezoid'],,,,0,not found,not found,not found
13,['Human'],,,,0,not found,not found,not found
14,['rectangle'],,,,0,not found,not found,not found
15,['trapezoid'],,,,0,not found,not found,not found
16,['rectangle'],,,,0,not found,not found,not found
17,['trapezoid'],,,,0,not found,not found,not found
18,['Human'],,,,0,not found,not found,not found
19,['rectangle'],,,,0,not found,not found,not found
20,['trapezoid'],,,,0,not found,not found,not found
21,['rectangle'],,,,0,not found,not found,not found
22,['trapezoid'],,,,0,not found,not found,not found
23,['Human'],,,,0,not found,not found,not found
24,['rectangle'],,,,0,not found,not found,not found
25,['trapezoid'],,,,0,not found,not found,not found
26,['rectangle'],,,,0,not found,not found,not found
27,['trapezoid'],,,,0,not found,not found,not found
28,['Human'],,,,0,not found,not found,not found
29,['rectangle'],,,,0,not found,not found,not found
30,['trapezoid'],,,,0,not found,not found,not found
31,['rectangle'],,,,0,not found,not found,not found
32,['trapezoid'],,,,0,not found,not found,not found
33,['Human'],,,,0,not found,not found,not found
34,['rectangle'],,,,0,not found,not found,not found
35,['trapezoid'],,,,0,not found,not found,not found
36,['rectangle'],,,,0,not found,not found,not found
37,['trapezoid'],,,,0,not found,not found,not found
38,['Human'],,,,0,not found,not found,not found
39,['rectangle'],,,,0,not found,not found,not found
40,['trapezoid'],,,,0,not found,not found,not found
41,['rectangle'],,,,0,not found,not found,not found
42,['trapezoid'],,,,0,not found,not found,not found
43,['Human'],,,,0,not found,not found,not found
44,['rectangle'],,,,0,not found,not found,not found
45,['trapezoid'],,,,0,not found,not found,not found
46,['rectangle'],,,,0,not found,not found,not found
47,['trapezoid'],,,,0,not found,not found,not found
48,['Human'],,,,0,not found,not found,not found
49,['rectangle'],,,,0,not found,not found,not found
50,['trapezoid'],,,,0,not found,not found,not found
51,['rectangle'],,,,0,not found,not found,not found
52,['trapezoid'],,,,0,not found,not found,not found
53,['Human'],,,,0,not found,not found,not found
54,['rectangle'],,,,0,not found,not found,not found
55,['trapezoid'],,,,0,not found,not found,not found
56,['rectangle'],,,,0,not found,not found,not found
57,['trapezoid'],,,,0,not found,not found,not found
58,['Human'],,,,0,not found,not found,not found
59,['rectangle'],,,,0,not found,not found,not found
60,['trapezoid'],,,,0,not found,not found,not found
61,['rectangle'],,,,0,not found,not found,not found
62,['trapezoid'],,,,0,not found,not found,not found
63,['Human'],,,,0,not found,not found,not found
64,['rectangle'],,,,0,not found,not found,not found
65,['trapezoid'],,,,0,not found,not found,not found
66,['rectangle'],,,,0,not found,not found,not found
67,['trapezoid'],,,,0,not found,not found,not found
68,['Human'],,,,0,not found,not found,not found
69,['rectangle'],,,,0,not found,not found,not found
70,['trapezoid'],,,,0,not found,not found,not found
71,['rectangle'],,,,0,not found,not found,not found
72,['trapezoid'],,,,0,not found,not found,not found
73,['Human'],,,,0,not found,not found,not found
74,['rectangle'],,,,0,not found,not found,not found
75,['trapezoid'],,,,0,not found,not found,not found
76,['rectangle'],,,,0,not found,not found,not found
77,['trapezoid'],,,,0,not found,not found,not found
78,['Human'],,,,0,not found,not found,not found
79,['rectangle'],,,,0,not found,not found,not found
80,['trapezoid'],,,,0,not found,not found,not found
81,['rectangle'],,,,0,not found,not found,not found
82,['trapezoid'],,,,0,not found,not found,not found
